Location,Status,Prosto,Na voljo,Datum
Bežigrad,Prosto,37,64,2025-03-17 20:02
Dolenjska cesta (Strelišče),Prosto,60,67,2025-03-17 20:02
Gosarjeva ulica,Skoraj polno,32,190,2025-03-17 20:02
Gospodarsko razstavišče,Prosto,429,400,2025-03-17 20:02
Komanova ulica,Zasedeno,/,55,2025-03-17 20:02
PH Kongresni trg,Skoraj polno,136,720,2025-03-17 20:02
Kozolec,Prosto,132,394,2025-03-17 20:02
Kranjčeva ulica,Prosto,78,117,2025-03-17 20:02
Linhartova,Prosto,111,50,2025-03-17 20:02
Metelkova ulica,Prosto,39,89,2025-03-17 20:02
Mirje,Prosto,86,107,2025-03-17 20:02
P+R Barje,Odprto,,,2025-03-17 20:02
P+R Dolgi Most,Odprto,,,2025-03-17 20:02
P+R Studenec,Odprto,,,2025-03-17 20:02
PH Kolezija,Prosto,72,80,2025-03-17 20:02
Pokopališče Polje,Prosto,35,39,2025-03-17 20:02
Povšetova ulica,Prosto,52,81,2025-03-17 20:02
Sanatorij Emona,Prosto,7,25,2025-03-17 20:02
Slovenčeva ulica,Zasedeno,0,128,2025-03-17 20:02
Tivoli I.,Prosto,210,351,2025-03-17 20:02
Tivoli II.,Prosto,127,159,2025-03-17 20:02
Trg mladinskih delovnih brigad,Prosto,11,26,2025-03-17 20:02
Trg prekomorskih brigad,Prosto,18,61,2025-03-17 20:02
Štembalova ulica,Zasedeno,/,155,2025-03-17 20:02
Žale I.,Prosto,74,125,2025-03-17 20:02
Žale II.,Prosto,56,80,2025-03-17 20:02
Žale III.,Prosto,49,83,2025-03-17 20:02
Žale IV.,Prosto,71,78,2025-03-17 20:02
Žale V.,Prosto,285,100,2025-03-17 20:02
P+R Ježica,Odprto,,,2025-03-17 20:02
P+R Stanežiče,Odprto,,,2025-03-17 20:02
ŠRC Stožice,Prosto,/,509,2025-03-17 20:02
Tacen,Prosto,/,/,2025-03-17 20:02
Bratislavska,Prosto,/,/,2025-03-17 20:02
BS4,Skoraj polno,12,100,2025-03-17 20:02
PH Rog,Prosto,19,80,2025-03-17 20:02
P+R Letališka,Odprto,,,2025-03-17 20:02
Parkirišče PH Ilirija - trenutno ne obratuje,Zasedeno,/,/,2025-03-17 20:02
Bežigrad,Prosto,38,64,2025-03-17 20:18
Dolenjska cesta (Strelišče),Prosto,60,67,2025-03-17 20:18
Gosarjeva ulica,Skoraj polno,35,190,2025-03-17 20:18
Gospodarsko razstavišče,Prosto,437,400,2025-03-17 20:18
Komanova ulica,Zasedeno,/,55,2025-03-17 20:18
PH Kongresni trg,Prosto,147,720,2025-03-17 20:18
Kozolec,Prosto,135,394,2025-03-17 20:18
Kranjčeva ulica,Prosto,78,117,2025-03-17 20:18
Linhartova,Prosto,111,50,2025-03-17 20:18
Metelkova ulica,Prosto,39,89,2025-03-17 20:18
Mirje,Prosto,88,107,2025-03-17 20:18
P+R Barje,Odprto,,,2025-03-17 20:18
P+R Dolgi Most,Odprto,,,2025-03-17 20:18
P+R Studenec,Odprto,,,2025-03-17 20:18
PH Kolezija,Prosto,72,80,2025-03-17 20:18
Pokopališče Polje,Prosto,35,39,2025-03-17 20:18
Povšetova ulica,Prosto,57,81,2025-03-17 20:18
Sanatorij Emona,Prosto,8,25,2025-03-17 20:18
Slovenčeva ulica,Zasedeno,0,128,2025-03-17 20:18
Tivoli I.,Prosto,225,351,2025-03-17 20:18
Tivoli II.,Prosto,126,159,2025-03-17 20:18
Trg mladinskih delovnih brigad,Prosto,14,26,2025-03-17 20:18
Trg prekomorskih brigad,Prosto,27,61,2025-03-17 20:18
Štembalova ulica,Zasedeno,/,155,2025-03-17 20:18
Žale I.,Prosto,74,125,2025-03-17 20:18
Žale II.,Prosto,56,80,2025-03-17 20:18
Žale III.,Prosto,50,83,2025-03-17 20:18
Žale IV.,Prosto,71,78,2025-03-17 20:18
Žale V.,Prosto,283,100,2025-03-17 20:18
P+R Ježica,Odprto,,,2025-03-17 20:18
P+R Stanežiče,Odprto,,,2025-03-17 20:18
ŠRC Stožice,Prosto,/,509,2025-03-17 20:18
Tacen,Prosto,/,/,2025-03-17 20:18
Bratislavska,Prosto,/,/,2025-03-17 20:18
BS4,Skoraj polno,8,100,2025-03-17 20:18
PH Rog,Prosto,21,80,2025-03-17 20:18
P+R Letališka,Odprto,,,2025-03-17 20:18
Parkirišče PH Ilirija - trenutno ne obratuje,Zasedeno,/,/,2025-03-17 20:18
Bežigrad,Prosto,37,64,2025-03-17 20:32
Dolenjska cesta (Strelišče),Prosto,61,67,2025-03-17 20:32
Gosarjeva ulica,Skoraj polno,35,190,2025-03-17 20:32
Gospodarsko razstavišče,Prosto,438,400,2025-03-17 20:32
Komanova ulica,Zasedeno,/,55,2025-03-17 20:32
PH Kongresni trg,Prosto,160,720,2025-03-17 20:32
Kozolec,Prosto,143,394,2025-03-17 20:32
Kranjčeva ulica,Prosto,77,117,2025-03-17 20:32
Linhartova,Prosto,111,50,2025-03-17 20:32
Metelkova ulica,Prosto,39,89,2025-03-17 20:32
Mirje,Prosto,88,107,2025-03-17 20:32
P+R Barje,Odprto,,,2025-03-17 20:32
P+R Dolgi Most,Odprto,,,2025-03-17 20:32
P+R Studenec,Odprto,,,2025-03-17 20:32
PH Kolezija,Prosto,72,80,2025-03-17 20:32
Pokopališče Polje,Prosto,35,39,2025-03-17 20:32
Povšetova ulica,Prosto,56,81,2025-03-17 20:32
Sanatorij Emona,Prosto,10,25,2025-03-17 20:32
Slovenčeva ulica,Zasedeno,0,128,2025-03-17 20:32
Tivoli I.,Prosto,247,351,2025-03-17 20:32
Tivoli II.,Prosto,128,159,2025-03-17 20:32
Trg mladinskih delovnih brigad,Prosto,16,26,2025-03-17 20:32
Trg prekomorskih brigad,Prosto,24,61,2025-03-17 20:32
Štembalova ulica,Zasedeno,/,155,2025-03-17 20:32
Žale I.,Prosto,74,125,2025-03-17 20:32
Žale II.,Prosto,56,80,2025-03-17 20:32
Žale III.,Prosto,50,83,2025-03-17 20:32
Žale IV.,Prosto,75,78,2025-03-17 20:32
Žale V.,Prosto,285,100,2025-03-17 20:32
P+R Ježica,Odprto,,,2025-03-17 20:32
P+R Stanežiče,Odprto,,,2025-03-17 20:32
ŠRC Stožice,Prosto,/,509,2025-03-17 20:32
Tacen,Prosto,/,/,2025-03-17 20:32
Bratislavska,Prosto,/,/,2025-03-17 20:32
BS4,Zasedeno,0,100,2025-03-17 20:32
PH Rog,Prosto,22,80,2025-03-17 20:32
P+R Letališka,Odprto,,,2025-03-17 20:32
Parkirišče PH Ilirija - trenutno ne obratuje,Zasedeno,/,/,2025-03-17 20:32
Bežigrad,Prosto,38,64,2025-03-17 20:48
Dolenjska cesta (Strelišče),Prosto,70,67,2025-03-17 20:48
Gosarjeva ulica,Prosto,41,190,2025-03-17 20:48
Gospodarsko razstavišče,Prosto,439,400,2025-03-17 20:48
Komanova ulica,Zasedeno,/,55,2025-03-17 20:48
PH Kongresni trg,Prosto,161,720,2025-03-17 20:48
Kozolec,Prosto,149,394,2025-03-17 20:48
Kranjčeva ulica,Prosto,77,117,2025-03-17 20:48
Linhartova,Prosto,113,50,2025-03-17 20:48
Metelkova ulica,Prosto,38,89,2025-03-17 20:48
Mirje,Prosto,90,107,2025-03-17 20:48
P+R Barje,Odprto,,,2025-03-17 20:48
P+R Dolgi Most,Odprto,,,2025-03-17 20:48
P+R Studenec,Odprto,,,2025-03-17 20:48
PH Kolezija,Prosto,72,80,2025-03-17 20:48
Pokopališče Polje,Prosto,36,39,2025-03-17 20:48
Povšetova ulica,Prosto,57,81,2025-03-17 20:48
Sanatorij Emona,Prosto,9,25,2025-03-17 20:48
Slovenčeva ulica,Zasedeno,0,128,2025-03-17 20:48
Tivoli I.,Prosto,243,351,2025-03-17 20:48
Tivoli II.,Prosto,123,159,2025-03-17 20:48
